Parameters;Iteration 0;Iteration 1;Iteration 2;Iteration 3;Iteration 4;Iteration 5;Iteration 6;Iteration 7;Iteration 8;Iteration 9;Iteration 10;Iteration 11;Iteration 12;Iteration 13;Iteration 14;Iteration 15;Iteration 16;Average
max_k:2| method:gmm;0.27819897765548646;0.30342713847868485;0.34307540314856366;0.3178717598908595;0.348048887213159;0.3525181923529256;0.4815300623936472;0.41130378775758025;0.4091437018266286;0.3397321429389645;0.4429025620853225;0.5619690925391696;0.3031354275743689;0.25884947539319825;0.3149752719603293;0.3970581200242408;0.3927792023960352;0.3680305415075979
max_k:2| method:kmeans;0.2738455725220933;0.3032329988851728;0.3423318518032572;0.3178717598908595;0.3523775284489517;0.31981628579108506;0.3607997038410913;0.5677160667313775;0.363011553545292;0.33731089609910364;0.32920708802193255;0.48929196418474;0.312176263043315;0.2366059500539398;0.31959628778944194;0.3723455869234762;0.3308346719019573;0.34872776643982867
max_k:5| method:gmm;0.2767079534270487;0.305011748211626;0.3429003548774695;0.3174993174993175;0.348048887213159;0.4082184385498222;0.4746987511533788;0.41130378775758025;0.5779172717852699;0.4811695969906329;0.4429025620853225;0.5619690925391696;0.3190683721206744;0.24702689964178273;0.31943835627235323;0.4289999054177437;0.3752524896134252;0.39047845795033975
max_k:5| method:kmeans;0.2738455725220933;0.3032329988851728;0.3423318518032572;0.3178717598908595;0.3523775284489517;0.31981628579108506;0.3607997038410913;0.5677160667313775;0.363011553545292;0.33731089609910364;0.32920708802193255;0.4237781507033791;0.30200015269617414;0.237935312740652;0.3191446084594097;0.3988781802871628;0.333403874709163;0.34603891677506804
max_k:10| method:gmm;0.2767079534270487;0.305011748211626;0.3537105602406172;0.3174993174993175;0.348048887213159;0.4082184385498222;0.4746987511533788;0.47195433564127925;0.584380781767349;0.37196095858647893;0.4429025620853225;0.5619690925391696;0.3190683721206744;0.23462168159732966;0.31943835627235323;0.4289999054177437;0.3752524896134252;0.38790848187859384
max_k:10| method:kmeans;0.2738455725220933;0.3032329988851728;0.3423318518032572;0.3178717598908595;0.3523775284489517;0.31981628579108506;0.3607997038410913;0.5677160667313775;0.363011553545292;0.33731089609910364;0.32920708802193255;0.4237781507033791;0.30200015269617414;0.237935312740652;0.3191446084594097;0.3988781802871628;0.333403874709163;0.34603891677506804
max_k:50| method:gmm;0.2767079534270487;0.305011748211626;0.3537105602406172;0.3174993174993175;0.348048887213159;0.4082184385498222;0.4746987511533788;0.47195433564127925;0.584380781767349;0.37196095858647893;0.4429025620853225;0.5619690925391696;0.3190683721206744;0.23462168159732966;0.31943835627235323;0.4289999054177437;0.3752524896134252;0.38790848187859384
max_k:50| method:kmeans;0.2738455725220933;0.3032329988851728;0.3423318518032572;0.3178717598908595;0.3523775284489517;0.31981628579108506;0.3607997038410913;0.5677160667313775;0.363011553545292;0.33731089609910364;0.32920708802193255;0.4237781507033791;0.30200015269617414;0.237935312740652;0.3191446084594097;0.3988781802871628;0.333403874709163;0.34603891677506804
max_k:100| method:gmm;0.2767079534270487;0.305011748211626;0.3537105602406172;0.3174993174993175;0.348048887213159;0.4082184385498222;0.4746987511533788;0.47195433564127925;0.584380781767349;0.37196095858647893;0.4429025620853225;0.5619690925391696;0.3190683721206744;0.23462168159732966;0.31943835627235323;0.4289999054177437;0.3752524896134252;0.38790848187859384
max_k:100| method:kmeans;0.2738455725220933;0.3032329988851728;0.3423318518032572;0.3178717598908595;0.3523775284489517;0.31981628579108506;0.3607997038410913;0.5677160667313775;0.363011553545292;0.33731089609910364;0.32920708802193255;0.4237781507033791;0.30200015269617414;0.237935312740652;0.3191446084594097;0.3988781802871628;0.333403874709163;0.34603891677506804
